Entry	Entry name	Protein names	Gene names	Gene ontology (GO)	Gene ontology (molecular function)
Q8NEV4	MYO3A_HUMAN	Myosin-IIIa (EC 2.7.11.1)	MYO3A	cytoplasm [GO:0005737]; filamentous actin [GO:0031941]; filopodium [GO:0030175]; filopodium tip [GO:0032433]; myosin complex [GO:0016459]; stereocilium tip [GO:0032426]; actin binding [GO:0003779]; actin-dependent ATPase activity [GO:0030898]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; plus-end directed microfilament motor activity [GO:0060002]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; cochlea morphogenesis [GO:0090103]; protein autophosphorylation [GO:0046777]; response to stimulus [GO:0050896]; sensory perception of sound [GO:0007605]; visual perception [GO:0007601]	actin binding [GO:0003779]; actin-dependent ATPase activity [GO:0030898]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; plus-end directed microfilament motor activity [GO:0060002]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q86XW9	TXND6_HUMAN	Thioredoxin domain-containing protein 6 (Thioredoxin-like protein 2) (Txl-2)	NME9 TXL2 TXNDC6	cell [GO:0005623]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; nucleoside diphosphate kinase activity [GO:0004550]; cell redox homeostasis [GO:0045454]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]	nucleoside diphosphate kinase activity [GO:0004550]
Q8TAS1	UHMK1_HUMAN	Serine/threonine-protein kinase Kist (EC 2.7.11.1) (Kinase interacting with stathmin) (PAM COOH-terminal interactor protein 2) (P-CIP2) (U2AF homology motif kinase 1)	UHMK1 KIS KIST	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite cytoplasm [GO:0032839]; Golgi apparatus [GO:0005794]; midbody [GO:0030496]; neuronal ribonucleoprotein granule [GO:0071598]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; transferase activity [GO:0016740]; cell cycle arrest [GO:0007050]; neuron projection development [GO:0031175]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of translational initiation [GO:0045948]; protein autophosphorylation [GO:0046777]; regulation of protein export from nucleus [GO:0046825]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; transferase activity [GO:0016740]
Q6PHR2	ULK3_HUMAN	Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3)	ULK3	ciliary tip [GO:0097542]; cytoplasm [GO:0005737]; phagophore assembly site [GO:0000407]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; autophagy [GO:0006914]; cellular senescence [GO:0090398]; negative regulation of smoothened signaling pathway [GO:0045879]; positive regulation of smoothened signaling pathway [GO:0045880]; protein autophosphorylation [GO:0046777]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
O60361	NDK8_HUMAN	Putative nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6)	NME2P1	extracellular exosome [GO:0070062]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; purine nucleotide metabolic process [GO:0006163]; pyrimidine nucleotide metabolic process [GO:0006220]; UTP biosynthetic process [GO:0006228]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]
A0A0B4J2F2	SIK1B_HUMAN	Probable serine/threonine-protein kinase SIK1B (EC 2.7.11.1) (Salt-inducible kinase 1B)	SIK1B	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]
Q9UPE1	SRPK3_HUMAN	SRSF protein kinase 3 (EC 2.7.11.1) (Muscle-specific serine kinase 1) (MSSK-1) (Serine/arginine-rich protein-specific kinase 3) (SR-protein-specific kinase 3) (Serine/threonine-protein kinase 23)	SRPK3 MSSK1 STK23	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; cell differentiation [GO:0030154]; intracellular signal transduction [GO:0035556]; muscle tissue development [GO:0060537]; regulation of gene expression [GO:0010468]; regulation of mRNA processing [GO:0050684]; skeletal muscle tissue development [GO:0007519]; spliceosomal complex assembly [GO:0000245]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q96J92	WNK4_HUMAN	Serine/threonine-protein kinase WNK4 (EC 2.7.11.1) (Protein kinase lysine-deficient 4) (Protein kinase with no lysine 4)	WNK4 PRKWNK4	bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; ATP binding [GO:0005524]; chloride channel inhibitor activity [GO:0019869]; potassium channel inhibitor activity [GO:0019870]; protein serine/threonine kinase activity [GO:0004674]; chloride transport [GO:0006821]; distal tubule morphogenesis [GO:0072156]; intracellular signal transduction [GO:0035556]; ion homeostasis [GO:0050801]; ion transport [GO:0006811]; negative regulation of pancreatic juice secretion [GO:0090188]; negative regulation of sodium ion transport [GO:0010766]; positive regulation of ion transmembrane transporter activity [GO:0032414]; positive regulation of potassium ion import across plasma membrane [GO:1903288]; positive regulation of sodium ion transmembrane transporter activity [GO:2000651]; protein localization [GO:0008104]; protein phosphorylation [GO:0006468]; regulation of cellular process [GO:0050794]; renal sodium ion absorption [GO:0070294]	ATP binding [GO:0005524]; chloride channel inhibitor activity [GO:0019869]; potassium channel inhibitor activity [GO:0019870]; protein serine/threonine kinase activity [GO:0004674]
P21675	TAF1_HUMAN	Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (EC 2.7.11.1) (Cell cycle gene 1 protein) (TBP-associated factor 250 kDa) (p250) (Transcription initiation factor TFIID 250 kDa subunit) (TAF(II)250) (TAFII-250) (TAFII250)	TAF1 BA2R CCG1 CCGS TAF2A	MLL1 complex [GO:0071339]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]; transcription factor TFIID complex [GO:0005669]; ATP binding [GO:0005524]; histone acetyltransferase activity [GO:0004402]; kinase activity [GO:0016301]; lysine-acetylated histone binding [GO:0070577]; nuclear hormone receptor binding [GO:0035257]; p53 binding [GO:0002039]; protein heterodimerization activity [GO:0046982]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; TBP-class protein binding [GO:0017025]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; ubiquitin conjugating enzyme activity [GO:0061631]; cell cycle [GO:0007049]; cellular response to ATP [GO:0071318]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to UV [GO:0034644]; DNA-templated transcription, initiation [GO:0006352]; midbrain development [GO:0030901]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of gene expression [GO:0010629]; negative regulation of protein autoubiquitination [GO:1905524]; negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding [GO:1903026]; negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage [GO:0010768]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of androgen receptor activity [GO:2000825]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein binding [GO:0032092]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; protein polyubiquitination [GO:0000209]; protein stabilization [GO:0050821]; regulation of cell cycle G1/S phase transition [GO:1902806]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of transcription initiation from RNA polymerase II promoter [GO:0060260]; regulation of transcription, DNA-templated [GO:0006355]; RNA polymerase II preinitiation complex assembly [GO:0051123]; transcription by RNA polymerase II [GO:0006366]; transcription factor catabolic process [GO:0036369]; transcription initiation from RNA polymerase II promoter [GO:0006367]; ubiquitin-dependent protein catabolic process [GO:0006511]; viral process [GO:0016032]	ATP binding [GO:0005524]; histone acetyltransferase activity [GO:0004402]; kinase activity [GO:0016301]; lysine-acetylated histone binding [GO:0070577]; nuclear hormone receptor binding [GO:0035257]; p53 binding [GO:0002039]; protein heterodimerization activity [GO:0046982]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; TBP-class protein binding [GO:0017025]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; ubiquitin conjugating enzyme activity [GO:0061631]
Q6IQ55	TTBK2_HUMAN	Tau-tubulin kinase 2 (EC 2.7.11.1)	TTBK2 KIAA0847	centriole [GO:0005814]; ciliary basal body [GO:0036064]; ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleus [GO:0005634]; ATP binding [GO:0005524]; kinesin binding [GO:0019894]; microtubule plus-end binding [GO:0051010]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]; cerebellar granular layer development [GO:0021681]; cerebellar granule cell precursor tangential migration [GO:0021935]; cerebellum development [GO:0021549]; ciliary basal body-plasma membrane docking [GO:0097711]; cilium assembly [GO:0060271]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule binding [GO:1904527]; negative regulation of microtubule depolymerization [GO:0007026]; negative regulation of protein localization to microtubule [GO:1902817]; peptidyl-serine phosphorylation [GO:0018105]; regulation of cell migration [GO:0030334]; smoothened signaling pathway [GO:0007224]	ATP binding [GO:0005524]; kinesin binding [GO:0019894]; microtubule plus-end binding [GO:0051010]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]
O43314	VIP2_HUMAN	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.21) (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (hsVIP2)	PPIP5K2 HISPPD1 KIAA0433 VIP2	cytosol [GO:0005829]; 5-diphosphoinositol pentakisphosphate 3-kinase activity [GO:0102092]; ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol metabolic process [GO:0006020]; inositol phosphate biosynthetic process [GO:0032958]; inositol phosphate metabolic process [GO:0043647]; sensory perception of sound [GO:0007605]	5-diphosphoinositol pentakisphosphate 3-kinase activity [GO:0102092]; ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]
Q99640	PMYT1_HUMAN	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (EC 2.7.11.1) (Myt1 kinase)	PKMYT1 MYT1	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; G2/M transition of mitotic cell cycle [GO:0000086]; mitotic cell cycle [GO:0000278]; negative regulation of phosphatase activity [GO:0010923]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of mitotic nuclear division [GO:0007088]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q9H477	RBSK_HUMAN	Ribokinase (RK) (EC 2.7.1.15)	RBKS RBSK	cytosol [GO:0005829]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; ribokinase activity [GO:0004747]; D-ribose catabolic process [GO:0019303]; pentose-phosphate shunt [GO:0006098]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; ribokinase activity [GO:0004747]
Q13308	PTK7_HUMAN	Inactive tyrosine-protein kinase 7 (Colon carcinoma kinase 4) (CCK-4) (Protein-tyrosine kinase 7) (Pseudo tyrosine kinase receptor 7) (Tyrosine-protein kinase-like 7)	PTK7 CCK4	cell-cell junction [GO:0005911]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway [GO:1904929]; protein kinase activity [GO:0004672]; actin cytoskeleton reorganization [GO:0031532]; axis elongation [GO:0003401]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; cellular response to retinoic acid [GO:0071300]; cochlea morphogenesis [GO:0090103]; convergent extension [GO:0060026]; coronary vasculature development [GO:0060976]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of planar polarity [GO:0001736]; lung-associated mesenchyme development [GO:0060484]; planar cell polarity pathway involved in neural tube closure [GO:0090179]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of neuron projection development [GO:0010976]; signal transduction [GO:0007165]; ventricular septum development [GO:0003281]; wound healing [GO:0042060]	ATP binding [GO:0005524]; coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway [GO:1904929]; protein kinase activity [GO:0004672]
O00746	NDKM_HUMAN	Nucleoside diphosphate kinase, mitochondrial (NDK) (NDP kinase, mitochondrial) (EC 2.7.4.6) (Nucleoside diphosphate kinase D) (NDPKD) (nm23-H4)	NME4 NM23D	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; cardiolipin binding [GO:1901612]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; lipid transport [GO:0006869]; nucleobase-containing small molecule interconversion [GO:0015949]; nucleoside metabolic process [GO:0009116]; purine nucleotide metabolic process [GO:0006163]; pyrimidine nucleotide metabolic process [GO:0006220]; UTP biosynthetic process [GO:0006228]	ATP binding [GO:0005524]; cardiolipin binding [GO:1901612]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]
Q86VZ5	SMS1_HUMAN	Phosphatidylcholine:ceramide cholinephosphotransferase 1 (EC 2.7.8.27) (Medulla oblongata-derived protein) (Protein Mob) (Sphingomyelin synthase 1) (Transmembrane protein 23)	SGMS1 MOB SMS1 TMEM23	endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]; Golgi trans cisterna [GO:0000138]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of Golgi membrane [GO:0030173]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ceramide cholinephosphotransferase activity [GO:0047493]; ceramide phosphoethanolamine synthase activity [GO:0002950]; kinase activity [GO:0016301]; sphingomyelin synthase activity [GO:0033188]; apoptotic process [GO:0006915]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to tumor necrosis factor [GO:0071356]; ceramide biosynthetic process [GO:0046513]; inflammatory response [GO:0006954]; positive regulation of gene expression [GO:0010628]; regulation of intrinsic apoptotic signaling pathway [GO:2001242]; sphingolipid biosynthetic process [GO:0030148]; sphingomyelin biosynthetic process [GO:0006686]	ceramide cholinephosphotransferase activity [GO:0047493]; ceramide phosphoethanolamine synthase activity [GO:0002950]; kinase activity [GO:0016301]; sphingomyelin synthase activity [GO:0033188]
O75716	STK16_HUMAN	Serine/threonine-protein kinase 16 (EC 2.7.11.1) (Myristoylated and palmitoylated serine/threonine-protein kinase) (MPSK) (Protein kinase PKL12) (TGF-beta-stimulated factor 1) (TSF-1) (Tyrosine-protein kinase STK16) (EC 2.7.10.2) (hPSK)	STK16 MPSK1 PKL12 TSF1	cytosol [GO:0005829]; Golgi-associated vesicle [GO:0005798]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein serine/threonine kinase activity [GO:0004674]; cellular response to transforming growth factor beta stimulus [GO:0071560]; protein autophosphorylation [GO:0046777]	ATP binding [GO:0005524]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein serine/threonine kinase activity [GO:0004674]
Q96QT4	TRPM7_HUMAN	Transient receptor potential cation channel subfamily M member 7 (EC 2.7.11.1) (Channel-kinase 1) (Long transient receptor potential channel 7) (LTrpC-7) (LTrpC7)	TRPM7 CHAK1 LTRPC7	cell [GO:0005623]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; actin binding [GO:0003779]; ATP binding [GO:0005524]; calcium channel activity [GO:0005262]; metal ion binding [GO:0046872]; myosin binding [GO:0017022]; protein serine/threonine kinase activity [GO:0004674]; actomyosin structure organization [GO:0031032]; calcium ion transmembrane transport [GO:0070588]; calcium-dependent cell-matrix adhesion [GO:0016340]; cellular magnesium ion homeostasis [GO:0010961]; necroptotic process [GO:0070266]; protein autophosphorylation [GO:0046777]; protein tetramerization [GO:0051262]	actin binding [GO:0003779]; ATP binding [GO:0005524]; calcium channel activity [GO:0005262]; metal ion binding [GO:0046872]; myosin binding [GO:0017022]; protein serine/threonine kinase activity [GO:0004674]
Q9Y6E0	STK24_HUMAN	Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)]	STK24 MST3 STK3	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; activation of protein kinase activity [GO:0032147]; cellular response to starvation [GO:0009267]; execution phase of apoptosis [GO:0097194]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; negative regulation of cell migration [GO:0030336]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of axon regeneration [GO:0048679]; response to hydrogen peroxide [GO:0042542]; signal transduction [GO:0007165]; signal transduction by protein phosphorylation [GO:0023014]	ATP binding [GO:0005524]; cadherin binding [GO:0045296]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q9NRP7	STK36_HUMAN	Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog)	STK36 KIAA1278	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; transcription factor binding [GO:0008134]; brain development [GO:0007420]; cilium assembly [GO:0060271]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; positive regulation of hh target transcription factor activity [GO:0007228]; positive regulation of smoothened signaling pathway [GO:0045880]; post-embryonic development [GO:0009791]; protein phosphorylation [GO:0006468]; regulation of DNA-binding transcription factor activity [GO:0051090]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; transcription factor binding [GO:0008134]
Q7RTN6	STRAA_HUMAN	STE20-related kinase adapter protein alpha (STRAD alpha) (STE20-related adapter protein) (Serologically defined breast cancer antigen NY-BR-96)	STRADA LYK5 STRAD	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; kinase binding [GO:0019900]; protein kinase activator activity [GO:0030295]; protein serine/threonine kinase activator activity [GO:0043539]; protein serine/threonine kinase activity [GO:0004674]; activation of protein kinase activity [GO:0032147]; cell cycle arrest [GO:0007050]; protein export from nucleus [GO:0006611]; signal transduction by protein phosphorylation [GO:0023014]	ATP binding [GO:0005524]; kinase binding [GO:0019900]; protein kinase activator activity [GO:0030295]; protein serine/threonine kinase activator activity [GO:0043539]; protein serine/threonine kinase activity [GO:0004674]
Q8NHU3	SMS2_HUMAN	Phosphatidylcholine:ceramide cholinephosphotransferase 2 (EC 2.7.8.27) (Sphingomyelin synthase 2)	SGMS2 SMS2	Golgi apparatus [GO:0005794]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of Golgi membrane [GO:0030173]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; ceramide cholinephosphotransferase activity [GO:0047493]; ceramide phosphoethanolamine synthase activity [GO:0002950]; kinase activity [GO:0016301]; sphingomyelin synthase activity [GO:0033188]; ceramide biosynthetic process [GO:0046513]; ceramide phosphoethanolamine biosynthetic process [GO:1905373]; sphingolipid biosynthetic process [GO:0030148]; sphingomyelin biosynthetic process [GO:0006686]	ceramide cholinephosphotransferase activity [GO:0047493]; ceramide phosphoethanolamine synthase activity [GO:0002950]; kinase activity [GO:0016301]; sphingomyelin synthase activity [GO:0033188]
Q9H3S4	TPK1_HUMAN	Thiamin pyrophosphokinase 1 (hTPK1) (EC 2.7.6.2) (Placental protein 20) (PP20) (Thiamine pyrophosphokinase 1)	TPK1	cytosol [GO:0005829]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; thiamine binding [GO:0030975]; thiamine diphosphokinase activity [GO:0004788]; thiamine diphosphate biosynthetic process [GO:0009229]; thiamine metabolic process [GO:0006772]; thiamine-containing compound metabolic process [GO:0042723]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; thiamine binding [GO:0030975]; thiamine diphosphokinase activity [GO:0004788]
Q16620	NTRK2_HUMAN	BDNF/NT-3 growth factors receptor (EC 2.7.10.1) (GP145-TrkB) (Trk-B) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase) (Tropomyosin-related kinase B)	NTRK2 TRKB	axon [GO:0030424]; axon terminus [GO:0043679]; cell junction [GO:0030054]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; receptor complex [GO:0043235]; terminal bouton [GO:0043195]; ATP binding [GO:0005524]; brain-derived neurotrophic factor binding [GO:0048403]; brain-derived neurotrophic factor-activated receptor activity [GO:0060175]; neurotrophin binding [GO:0043121]; neurotrophin receptor activity [GO:0005030]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; activation of phospholipase C activity [GO:0007202]; brain-derived neurotrophic factor receptor signaling pathway [GO:0031547]; cellular response to amino acid stimulus [GO:0071230]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to nerve growth factor stimulus [GO:1990090]; central nervous system neuron development [GO:0021954]; cerebral cortex development [GO:0021987]; circadian rhythm [GO:0007623]; feeding behavior [GO:0007631]; glutamate secretion [GO:0014047]; learning [GO:0007612]; long-term synaptic potentiation [GO:0060291]; mechanoreceptor differentiation [GO:0042490]; myelination in peripheral nervous system [GO:0022011]; negative regulation of anoikis [GO:2000811]; negative regulation of neuron apoptotic process [GO:0043524]; nervous system development [GO:0007399]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; neuronal action potential propagation [GO:0019227]; neurotrophin TRK receptor signaling pathway [GO:0048011]; oligodendrocyte differentiation [GO:0048709]; peripheral nervous system neuron development [GO:0048935]; positive regulation of axonogenesis [GO:0050772]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of neuron projection development [GO:0010976]; positive regulation of non-membrane spanning protein tyrosine kinase activity [GO:1903997]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of synapse assembly [GO:0051965]; protein autophosphorylation [GO:0046777]; regulation of GTPase activity [GO:0043087]; regulation of MAPK cascade [GO:0043408]; regulation of protein kinase B signaling [GO:0051896]; retinal rod cell development [GO:0046548]; trans-synaptic signaling by BDNF, modulating synaptic transmission [GO:0099183]; trans-synaptic signaling by neuropeptide, modulating synaptic transmission [GO:0099551]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; vasculogenesis [GO:0001570]	ATP binding [GO:0005524]; brain-derived neurotrophic factor-activated receptor activity [GO:0060175]; brain-derived neurotrophic factor binding [GO:0048403]; neurotrophin binding [GO:0043121]; neurotrophin receptor activity [GO:0005030]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
